,,,,,,,,,,,,
Current Portfolio returns calculation detail,,,,,,,,,,,,
,,,,,,,,,,,,
Current Portfolio returns summary,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,Return,,,,,,
Total,Total Bought,Total shares,Current Price,Current Value,Capital Gains,Dividends,Total Gain inc Currency,Avg Years,Total Return,,
NasdaqGS:GOOG,4368.48,3.00,1496.00,4488.00,119.52,0.00,119.52,0.08,2.74%,,,
NYSE:BAC,790.16,28.00,23.10,646.80,-143.36,0.00,-143.36,0.08,-18.14%,,,
NasdaqGS:INO,599.72,47.00,23.46,1102.62,502.90,0.00,502.90,0.08,83.86%,,,
NYSE:PG,16212.58,137.00,122.89,16835.93,623.35,0.00,623.35,0.08,3.84%,,,
NYSE:JNJ,1021.72,7.00,143.27,1002.89,-18.83,0.00,-18.83,0.08,-1.84%,,,
NYSE:RH,10584.42,42.00,265.34,11144.28,559.86,0.00,559.86,0.08,5.29%,,,
NYSE:T,782.88,24.00,30.46,731.04,-51.84,0.00,-51.84,0.08,-6.62%,,,
NYSE:WMT,3155.10,26.00,124.44,3235.44,80.34,0.00,80.34,0.08,2.55%,,,
NYSE:KMB,4850.30,35.00,143.35,5017.25,166.95,0.00,166.95,0.08,3.44%,,,
NYSE:GIS,502.56,8.00,62.94,503.52,0.96,0.00,0.96,0.08,0.19%,,,
NasdaqGS:NVDA,2171.04,6.00,408.64,2451.84,280.80,0.00,280.80,0.08,12.93%,,,
,,,,,,,,,,,,
Total,45038.96,363.00,,47159.61,2120.65,0.00,2120.65,,4.71%,,,
,,,,Total Return,4.71%,0.00%,4.71%,,,,,
,,,,CAGR,75.03%,0.00%,75.03%,0.08,,,,
,,,,,,,,,,,,
NasdaqGS:GOOG - Alphabet,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NasdaqGS:GOOG,Buy,,2020-06-09,1456.160,3.00,4368.48,,,0.08,,,
Totals,,,,,,4368.48,0.00,0.00,0.08,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
4368.48,3.00,1496.000,4488.00,,,119.52,0.00,0.00,119.52,,,
,,,,,,2.74%,0.00%,0.00%,2.74%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.08,,,
,,,,,,,Total Return,,2.74%,,,
,,,,,,,CAGR,,2.74%,,,
,,,,,,,,,,,,
NYSE:BAC - Bank of America,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:BAC,Buy,,2020-06-09,28.220,28.00,790.16,,,0.08,,,
Totals,,,,,,790.16,0.00,0.00,0.08,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
790.16,28.00,23.100,646.80,,,-143.36,0.00,-0.00,-143.36,,,
,,,,,,-18.14%,0.00%,-0.00%,-18.14%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.08,,,
,,,,,,,Total Return,,-18.14%,,,
,,,,,,,CAGR,,-18.14%,,,
,,,,,,,,,,,,
NasdaqGS:INO - Inovio Pharmaceuticals,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NasdaqGS:INO,Buy,,2020-06-09,12.760,47.00,599.72,,,0.08,,,
Totals,,,,,,599.72,0.00,0.00,0.08,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
599.72,47.00,23.460,1102.62,,,502.90,0.00,-0.00,502.90,,,
,,,,,,83.86%,0.00%,-0.00%,83.86%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.08,,,
,,,,,,,Total Return,,83.86%,,,
,,,,,,,CAGR,,83.86%,,,
,,,,,,,,,,,,
NYSE:PG - Procter  Gamble,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:PG,Buy,,2020-06-09,118.340,137.00,16212.58,,,0.08,,,
Totals,,,,,,16212.58,0.00,0.00,0.08,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
16212.58,137.00,122.890,16835.93,,,623.35,0.00,-0.00,623.35,,,
,,,,,,3.84%,0.00%,-0.00%,3.84%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.08,,,
,,,,,,,Total Return,,3.84%,,,
,,,,,,,CAGR,,3.84%,,,
,,,,,,,,,,,,
NYSE:JNJ - Johnson  Johnson,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:JNJ,Buy,,2020-06-09,145.960,7.00,1021.72,,,0.08,,,
Totals,,,,,,1021.72,0.00,0.00,0.08,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
1021.72,7.00,143.270,1002.89,,,-18.83,0.00,-0.00,-18.83,,,
,,,,,,-1.84%,0.00%,-0.00%,-1.84%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.08,,,
,,,,,,,Total Return,,-1.84%,,,
,,,,,,,CAGR,,-1.84%,,,
,,,,,,,,,,,,
NYSE:RH - RH,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:RH,Buy,,2020-06-09,252.010,42.00,10584.42,,,0.08,,,
Totals,,,,,,10584.42,0.00,0.00,0.08,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
10584.42,42.00,265.340,11144.28,,,559.86,0.00,0.00,559.86,,,
,,,,,,5.29%,0.00%,0.00%,5.29%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,0.08,,,
,,,,,,,Total Return,,5.29%,,,
,,,,,,,CAGR,,5.29%,,,
,,,,,,,,,,,,
NYSE:T - ATT,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:T,Buy,,2020-06-09,32.620,24.00,782.88,,,0.08,,,
Totals,,,,,,782.88,0.00,0.00,0.08,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
782.88,24.00,30.460,731.04,,,-51.84,0.00,-0.00,-51.84,,,
