,,,,,,,,,,,,
Current Portfolio returns calculation detail,,,,,,,,,,,,
,,,,,,,,,,,,
Current Portfolio returns summary,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,Return,,,,,,
Total,Total Bought,Total shares,Current Price,Current Value,Capital Gains,Dividends,Total Gain inc Currency,Avg Years,Total Return,,
NasdaqGS:GOOG,2755.77,3.00,1496.00,4488.00,1732.23,0.00,1732.23,3.01,62.86%,,,
NYSE:BAC,695.24,28.00,23.10,646.80,-48.44,50.40,1.96,3.01,0.28%,,,
NasdaqGS:INO,370.36,47.00,23.46,1102.62,732.26,0.00,732.26,3.01,197.72%,,,
NYSE:PG,12008.05,137.00,122.89,16835.93,4827.88,1193.53,6021.41,3.01,50.14%,,,
NYSE:JNJ,927.78,7.00,143.27,1002.89,75.11,76.51,151.62,3.01,16.34%,,,
NYSE:RH,2630.46,42.00,265.34,11144.28,8513.82,0.00,8513.82,3.01,323.66%,,,
NYSE:T,887.52,24.00,30.46,731.04,-156.48,133.68,-22.80,3.01,-2.57%,,,
NYSE:WMT,1958.58,26.00,124.44,3235.44,1276.86,163.80,1440.66,3.01,73.56%,,,
NYSE:KMB,4438.00,35.00,143.35,5017.25,579.25,427.00,1006.25,3.01,22.67%,,,
NYSE:GIS,429.04,8.00,62.94,503.52,74.48,43.12,117.60,3.01,27.41%,,,
NasdaqGS:NVDA,880.56,6.00,408.64,2451.84,1571.28,11.16,1582.44,3.01,179.71%,,,
,,,,,,,,,,,,
Total,27981.36,363.00,,47159.61,19178.25,2099.20,21277.45,,76.04%,,,
,,,,Total Return,68.54%,7.50%,76.04%,,,,,
,,,,CAGR,18.95%,1.74%,20.68%,3.01,,,,
,,,,,,,,,,,,
NasdaqGS:GOOG - Alphabet,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NasdaqGS:GOOG,Buy,,2017-07-07,918.590,3.00,2755.77,,,3.01,,,
Totals,,,,,,2755.77,0.00,0.00,3.01,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
2755.77,3.00,1496.000,4488.00,,,1732.23,0.00,0.00,1732.23,,,
,,,,,,62.86%,0.00%,0.00%,62.86%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,3.01,,,
,,,,,,,Total Return,,62.86%,,,
,,,,,,,CAGR,,17.60%,,,
,,,,,,,,,,,,
NYSE:BAC - Bank of America,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:BAC,Buy,,2017-07-07,24.830,28.00,695.24,,,3.01,,,
NYSE:BAC,Dividend payment - Quarterly,2017-08-30,2017-09-29,0.120,28.00,,,3.360,,,,
NYSE:BAC,Dividend payment - Quarterly,2017-11-30,2017-12-29,0.120,28.00,,,3.360,,,,
NYSE:BAC,Dividend payment - Quarterly,2018-03-01,2018-03-30,0.120,28.00,,,3.360,,,,
NYSE:BAC,Dividend payment - Quarterly,2018-05-31,2018-06-29,0.120,28.00,,,3.360,,,,
NYSE:BAC,Dividend payment - Quarterly,2018-09-06,2018-09-28,0.150,28.00,,,4.200,,,,
NYSE:BAC,Dividend payment - Quarterly,2018-12-06,2018-12-28,0.150,28.00,,,4.200,,,,
NYSE:BAC,Dividend payment - Quarterly,2019-02-28,2019-03-29,0.150,28.00,,,4.200,,,,
NYSE:BAC,Dividend payment - Quarterly,2019-06-06,2019-06-28,0.150,28.00,,,4.200,,,,
NYSE:BAC,Dividend payment - Quarterly,2019-09-05,2019-09-27,0.180,28.00,,,5.040,,,,
NYSE:BAC,Dividend payment - Quarterly,2019-12-05,2019-12-27,0.180,28.00,,,5.040,,,,
NYSE:BAC,Dividend payment - Quarterly,2020-03-05,2020-03-27,0.180,28.00,,,5.040,,,,
NYSE:BAC,Dividend payment - Quarterly,2020-06-04,2020-06-26,0.180,28.00,,,5.040,,,,
Totals,,,,,,695.24,0.00,50.40,3.01,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
695.24,28.00,23.100,646.80,,,-48.44,50.40,-0.00,1.96,,,
,,,,,,-6.97%,7.25%,-0.00%,0.28%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,3.01,,,
,,,,,,,Total Return,,0.28%,,,
,,,,,,,CAGR,,0.09%,,,
,,,,,,,,,,,,
NasdaqGS:INO - Inovio Pharmaceuticals,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NasdaqGS:INO,Buy,,2017-07-07,7.880,47.00,370.36,,,3.01,,,
Totals,,,,,,370.36,0.00,0.00,3.01,,,
,,,,,,,,,,,,
Current Position,,,,,,Return,,,,,,
Net original cost,Total shares,Current Price,Current Value,,,Capital Gain,Dividends,Currency,Total Gain,,
370.36,47.00,23.460,1102.62,,,732.26,0.00,-0.00,732.26,,,
,,,,,,197.72%,0.00%,-0.00%,197.72%,,,
,,,,,,,,,,,,
,,,,,,,Avg. Investment Period,,3.01,,,
,,,,,,,Total Return,,197.72%,,,
,,,,,,,CAGR,,43.71%,,,
,,,,,,,,,,,,
NYSE:PG - Procter  Gamble,,,,,,,,,,,,
Ticker,Transaction Type,Ex date,Date,PriceAmount,Shares,Bought,Sold,Dividend,Years,,
NYSE:PG,Buy,,2017-07-07,87.650,137.00,12008.05,,,3.01,,,
NYSE:PG,Dividend payment - Quarterly,2017-07-19,2017-08-15,0.690,137.00,,,94.475,,,,
NYSE:PG,Dividend payment - Quarterly,2017-10-19,2017-11-15,0.690,137.00,,,94.475,,,,
NYSE:PG,Dividend payment - Quarterly,2018-01-18,2018-02-15,0.690,137.00,,,94.475,,,,
NYSE:PG,Dividend payment - Quarterly,2018-04-19,2018-05-15,0.717,137.00,,,98.256,,,,
NYSE:PG,Dividend payment - Quarterly,2018-07-19,2018-08-15,0.717,137.00,,,98.256,,,,
NYSE:PG,Dividend payment - Quarterly,2018-10-18,2018-11-15,0.717,137.00,,,98.256,,,,
NYSE:PG,Dividend payment - Quarterly,2019-01-17,2019-02-15,0.717,137.00,,,98.256,,,,
NYSE:PG,Dividend payment - Quarterly,2019-04-17,2019-05-15,0.746,137.00,,,102.188,,,,
NYSE:PG,Dividend payment - Quarterly,2019-07-18,2019-08-15,0.746,137.00,,,102.188,,,,
NYSE:PG,Dividend payment - Quarterly,2019-10-17,2019-11-15,0.746,137.00,,,102.188,,,,
NYSE:PG,Dividend payment - Quarterly,2020-01-23,2020-02-18,0.746,137.00,,,102.188,,,,
NYSE:PG,Dividend payment - Quarterly,2020-04-23,2020-05-15,0.791,137.00,,,108.326,,,,
Totals,,,,,,12008.05,0.00,1193.53,3.01,,,
